City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
263,Salvador,SV,2021-10-14 20:44:55,13.8333,-88.9167,82.44,68,55,3.74
264,College,US,2021-10-14 20:44:55,64.8569,-147.8028,32.29,77,75,4.61
265,Bloemfontein,ZA,2021-10-14 20:42:26,-29.1211,26.214,62.08,31,3,4.61
266,Riyadh,SA,2021-10-14 20:34:34,24.6877,46.7219,80.74,20,0,5.01
267,Mayskiy,RU,2021-10-14 20:44:56,47.6931,40.1025,49.44,78,80,5.53
268,Bambous Virieux,MU,2021-10-14 20:35:41,-20.3428,57.7575,73.65,73,20,8.05
269,Leh,IN,2021-10-14 20:44:57,34.1667,77.5833,41.92,19,0,3.0
270,Yanam,IN,2021-10-14 20:44:58,16.7333,82.2167,76.46,91,88,2.62
271,Lata,PT,2021-10-14 20:44:58,40.1629,-8.3327,65.8,59,100,0.29
272,Sao Joao Da Barra,BR,2021-10-14 20:44:59,-21.6403,-41.0511,78.89,91,71,14.85
273,Manali,IN,2021-10-14 20:45:00,13.1667,80.2667,82.49,78,100,3.6
274,Biltine,TD,2021-10-14 20:45:00,14.5333,20.9167,75.74,80,100,8.03
275,Mackenzie,CA,2021-10-14 20:45:01,55.2999,-123.1698,39.42,87,90,9.22
276,Atyashevo,RU,2021-10-14 20:45:02,54.5644,46.0691,53.01,55,97,19.06
277,Grand-Lahou,CI,2021-10-14 20:45:02,5.1367,-5.0242,78.6,91,8,9.48
278,Ramgarh,IN,2021-10-14 20:45:03,23.6333,85.5167,75.67,81,88,4.54
279,Nizwa,OM,2021-10-14 20:45:04,22.9333,57.5333,79.11,22,0,2.06
280,Kirakira,SB,2021-10-14 20:45:05,-10.4544,161.9205,81.99,77,74,1.39
281,Majene,ID,2021-10-14 20:45:06,-3.5403,118.9707,77.94,89,97,7.76
282,Cascais,PT,2021-10-14 20:45:07,38.6979,-9.4215,72.75,40,0,1.99
283,Yenagoa,NG,2021-10-14 20:45:08,4.9247,6.2642,76.41,91,49,3.76
284,Bilma,NE,2021-10-14 20:38:48,18.6853,12.9164,84.16,15,4,11.07
285,Sur,OM,2021-10-14 20:45:08,22.5667,59.5289,79.77,45,0,1.43
286,Hay River,CA,2021-10-14 20:42:19,60.8156,-115.7999,48.16,49,20,10.36
287,Cherskiy,RU,2021-10-14 20:45:09,68.75,161.3,2.61,97,99,6.6
288,Vestmannaeyjar,IS,2021-10-14 20:45:10,63.4427,-20.2734,43.14,67,68,18.41
289,Mitu,CO,2021-10-14 20:45:11,1.1983,-70.1733,91.31,54,56,2.75
290,Sitka,US,2021-10-14 20:45:12,57.0531,-135.33,42.69,81,90,10.36
291,Nara,JP,2021-10-14 20:42:18,34.6851,135.8049,65.48,80,0,2.06
